"country","year","good","gamma","qType","P","pType","taste"
"Austria",2013,"light_sour",2.77247722449955,4470.17,110.677165842389,106.980436985618,0.0695764587397158
"Austria",2013,"light_sweet",2.77247722449955,36453.504,110.677165842389,111.959267756537,0.643649948802292
"Austria",2013,"medium_sour",2.77247722449955,13175.466,110.677165842389,107.11498819093,0.205786886416302
"Austria",2013,"medium_sweet",2.77247722449955,4303.54,110.677165842389,114.562629834973,0.0809867060416906
"Austria",2014,"light_sour",2.77247722449955,4517.01,103.823584885204,95.1271549099958,0.06088568492203
"Austria",2014,"light_sweet",2.77247722449955,39024.709,103.823584885204,104.388053374082,0.680554625521572
"Austria",2014,"medium_sour",2.77247722449955,10615.981,103.823584885204,106.423081767008,0.195312824059885
"Austria",2014,"medium_sweet",2.77247722449955,3951.72,103.823584885204,101.206353182918,0.0632468654965127
"Austria",2015,"light_sour",2.77247722449955,1959.87,55.5464562340165,64.649456341492,0.0478259940279883
"Austria",2015,"light_sweet",2.77247722449955,46669.439,55.5464562340165,56.2293960079529,0.773487245657294
"Austria",2015,"medium_sour",2.77247722449955,12130.841,55.5464562340165,52.5135580459755,0.166337881528427
"Austria",2015,"medium_sweet",2.77247722449955,1319.57,55.5464562340165,45.7542457012512,0.0123488787862904
"Austria",2016,"heavy_sour",2.77247722449955,139.82,42.868448494377,46.4119582320126,0.0031692725737839
"Austria",2016,"light_sour",2.77247722449955,2783.76,42.868448494377,44.8407190275024,0.0573526173800924
"Austria",2016,"light_sweet",2.77247722449955,37292.811,42.868448494377,43.5438479818537,0.708286942152282
"Austria",2016,"medium_sour",2.77247722449955,14228.419,42.868448494377,40.6641129277961,0.22353997986941
"Austria",2016,"medium_sweet",2.77247722449955,408.23,42.868448494377,43.3360360581045,0.00765118802443246
"Austria",2017,"light_sour",2.77247722449955,2019.26,54.7231519849994,51.3690906569733,0.030820818235804
"Austria",2017,"light_sweet",2.77247722449955,37384.613,54.7231519849994,56.008433175435,0.725196361325213
"Austria",2017,"medium_sour",2.77247722449955,11027.247,54.7231519849994,49.2344663178398,0.149628713216613
"Austria",2017,"medium_sweet",2.77247722449955,4137.16,54.7231519849994,59.3756369103443,0.0943541072223699
"Austria",2018,"light_sour",2.77247722449955,2925.69,71.2071059941729,71.702832494215,0.0470355298967577
"Austria",2018,"light_sweet",2.77247722449955,48990.998,71.2071059941729,71.450567326675,0.779956500571919
"Austria",2018,"medium_sour",2.77247722449955,10937.382,71.2071059941729,69.6582014781965,0.162284692988861
"Austria",2018,"medium_sweet",2.77247722449955,529.32,71.2071059941729,77.9387704979974,0.010723276542462
"Austria",2019,"light_sweet",2.77247722449955,55501.38,64.4494649949466,64.4180739289726,0.815042352062621
"Austria",2019,"medium_sour",2.77247722449955,11379.18,64.4494649949466,64.0724639209504,0.164630385531665
"Austria",2019,"medium_sweet",2.77247722449955,1102.91,64.4494649949466,69.9188238387538,0.0203272624057135
"Austria",2020,"light_sweet",2.77247722449955,40796.273,43.710907064531,44.9683626835471,0.771046365995189
"Austria",2020,"medium_NA",2.77247722449955,347.405,43.710907064531,42.511,0.00561864603611791
"Austria",2020,"medium_sweet",2.77247722449955,2152.498,43.710907064531,48.9666731499867,0.0515188859740466
"Austria",2020,"medium_sour",2.77247722449955,11832.128,43.710907064531,39.4128896871298,0.155148088240345
"Austria",2020,"light_sour",2.77247722449955,1572.728,43.710907064531,36.4998805953731,0.0166680137543022
"Austria",2021,"light_sweet",2.77247722449955,45982.303,68.97695116351,68.9896019087822,0.7958300008804
"Austria",2021,"light_sour",2.77247722449955,2693.297,68.97695116351,64.5087494361001,0.038694968041978
"Austria",2021,"medium_sour",2.77247722449955,9064.69,68.97695116351,70.2225799808929,0.164782697047164
"Austria",2021,"medium_sweet",2.77247722449955,33.129,68.97695116351,73.8441316067494,0.000692334030457976
"Austria",2022,"light_sweet",2.77247722449955,33161.698,97.9344736873981,97.7772794481151,0.837619962636715
"Austria",2022,"medium_sour",2.77247722449955,6236.654,97.9344736873981,98.7677558248381,0.161993541067396
"Austria",2022,"medium_sweet",2.77247722449955,14.778,97.9344736873981,99.0128005819461,0.000386496295889805
"Austria",2023,"light_sweet",2.77247722449955,48730.125,83.183933287641,83.4758397196395,0.850701462353141
"Austria",2023,"medium_sweet",2.77247722449955,600.835,83.183933287641,88.8153615401899,0.0124563321361893
"Austria",2023,"medium_sour",2.77247722449955,8489.121,83.183933287641,81.109726062451,0.136842205510669
"Austria",20132019,"heavy_sour",2.77247722449955,139.82,71.9579829510231,46.4119582320126,9.8365152991925e-05
"Austria",20132019,"light_sour",2.77247722449955,18675.76,71.9579829510231,78.8695715729908,0.0571472286134047
"Austria",20132019,"light_sweet",2.77247722449955,301317.454,71.9579829510231,71.594485465817,0.705040738694797
"Austria",20132019,"medium_sour",2.77247722449955,83494.516,71.9579829510231,69.3528906617052,0.178873534305564
"Austria",20132019,"medium_sweet",2.77247722449955,15752.45,71.9579829510231,84.7516583134687,0.0588401332332425
"Belgium",2013,"heavy_sour",9.64552965420098,3940.12,108.474051286007,92.505558206349,0.00416497419751042
"Belgium",2013,"light_sour",9.64552965420098,41951.5,108.474051286007,108.412116134107,0.204891407581509
"Belgium",2013,"light_sweet",9.64552965420098,60357.04,108.474051286007,110.554101592788,0.356010344693692
"Belgium",2013,"medium_sour",9.64552965420098,83671.63,108.474051286007,107.469067926608,0.375626366034237
"Belgium",2013,"medium_sweet",9.64552965420098,9713.11,108.474051286007,110.951009511887,0.0593069074930508
